code,name,date,open,high,low,close,volume,amount,turnover,raw_open,raw_close,raw_prev_date,raw_prev_close,scale
000001,平安银行,2026-06-04,1592.0360030780826,1600.7914714726458,1571.6065768241015,1578.9028004862375,86927083.0,943329311.0,0.004479484276440655,10.91,10.82,2026-06-03,10.99,145.92447324272067
000002,万  科Ａ,2026-06-04,551.4170610381335,561.5658413026391,536.1938906413753,542.9597441510457,181654444.0,589220749.0,0.01869462210348756,3.26,3.21,2026-06-03,3.28,169.14633774175877
000006,深振业Ａ,2026-06-04,436.98125580876393,446.8185115674921,430.76825217167254,434.9102545964002,26255255.0,222387273.0,0.01944855535067243,8.44,8.4,2026-06-03,8.49,51.77503030909526
000007,全新好,2026-06-04,143.87749366028493,152.19202218839186,142.1904878719734,150.023014746277,10727479.0,132418377.0,0.030964178282386262,11.94,12.45,2026-06-03,11.99,12.05004134508249
000008,神州高铁,2026-06-04,69.65214801656788,69.92107522898706,68.84536637931035,69.11429359172952,24669167.0,63392845.0,0.009081910938285366,2.59,2.57,2026-06-03,2.61,26.892721241918103
000009,中国宝安,2026-06-04,73.3110136965938,73.92449498275778,72.18629800529321,72.49303864837519,21985162.0,156425499.0,0.008534544775054805,7.17,7.09,2026-06-03,7.21,10.224688102732749
000011,深物业A,2026-06-04,34.30608770263505,34.96855008585835,33.83290028604698,34.16413147765863,4432100.0,32079405.0,0.008418434738192577,7.25,7.22,2026-06-03,7.31,4.731874165880696
000012,南  玻Ａ,2026-06-04,149.38948419204303,155.9640825183432,147.92846234175408,153.4072942803376,70199624.0,294047808.0,0.03582862722219434,4.09,4.2,2026-06-03,4.11,36.52554625722323
000014,沙河股份,2026-06-04,122.48340076102963,123.73905538206535,118.83058731801663,119.51548983858157,5044008.0,53289989.0,0.020839027837922398,10.73,10.47,2026-06-03,10.77,11.415042009415622
000017,深中华A,2026-06-04,17.40493413900308,17.535064487705903,16.949477918543185,17.079608267246012,6645832.0,34982870.0,0.015076000605060614,5.35,5.25,2026-06-03,5.37,3.253258717570669
000019,深粮控股,2026-06-04,42.040000915527344,42.48997034428681,40.6258112822833,41.01149936407713,8593420.0,55258633.0,0.020647015171969707,6.54,6.38,2026-06-03,6.54,6.428134696563814
000020,深华发Ａ,2026-06-04,29.621246831990593,30.270941116689006,29.356556567854202,29.7174978371311,3085900.0,38013953.0,0.01703360660094289,12.31,12.35,2026-06-03,12.43,2.4062751285126396
000021,深科技,2026-06-04,621.4222053866474,668.4720337870227,621.256536976787,657.3722503263708,166280467.0,6550356937.0,0.10563916317143988,37.51,39.68,2026-06-03,38.3,16.56684098604765
000025,特  力Ａ,2026-06-04,41.53769735306029,42.86690366835822,41.3161629671773,42.20230051070925,6865600.0,104440082.0,0.01747957983016985,15.0,15.24,2026-06-03,15.12,2.7691798235373524
000026,飞亚达,2026-06-04,227.57855835506385,228.90644042805118,217.56837042023608,220.22413456621078,14163720.0,306283750.0,0.03885146895400828,22.28,21.56,2026-06-03,22.38,10.214477484518126
000027,深圳能源,2026-06-04,193.2612072355184,197.19527761181394,190.55653385181523,191.5400514458891,77109272.0,605849989.0,0.016208314508900555,7.86,7.79,2026-06-03,7.96,24.587939851847125
000028,国药一致,2026-06-04,131.37319492613744,131.77077917364412,128.4197119446592,128.93089169145352,2838802.0,64844287.0,0.00593825975517142,23.13,22.7,2026-06-03,23.14,5.679774964381212
000029,深深房Ａ,2026-06-04,53.70230194247897,54.73503851829587,53.26625761046739,53.79410074921825,4877035.0,114695047.0,0.0054696128569185565,23.4,23.44,2026-06-03,23.46,2.294970168482007
000030,富奥股份,2026-06-04,19.425174140930174,19.637239360809325,19.043456745147704,19.128282833099366,9399640.0,42714975.0,0.005625474806013483,4.58,4.51,2026-06-03,4.6,4.241304397583008
000031,大悦城,2026-06-04,51.91685408688664,53.26284660025036,48.64801512586044,49.22486906015918,50912100.0,134142988.0,0.011877853664514831,2.7,2.56,2026-06-03,2.67,19.22846447662468
000032,深桑达Ａ,2026-06-04,67.63716911880705,73.80922042291468,66.6581540843624,69.63776505875917,30995395.0,505337498.0,0.027237702436008353,15.89,16.36,2026-06-03,15.94,4.256587106281123
000034,神州数码,2026-06-04,113.62392702915409,115.21466200756225,112.26043990480424,113.16943132103746,29884244.0,747154242.0,0.03519321668369735,25.0,24.9,2026-06-03,25.58,4.544957081166164
000035,中国天楹,2026-06-04,27.929679344551616,28.215161586574286,26.930491497472254,27.073232618483594,30847823.0,177444071.0,0.013336567060125955,5.87,5.69,2026-06-03,5.91,4.758037367044568
000036,华联控股,2026-06-04,57.27272727272728,59.545454545454554,57.15909090909092,58.06818181818183,28090910.0,144455057.0,0.02002229921492086,5.04,5.11,2026-06-03,5.06,11.363636363636365
000037,深南电A,2026-06-04,68.81103294706506,69.45742181334832,66.57805322717736,67.34196734187579,47516541.0,546841832.0,0.14020477524662656,11.71,11.46,2026-06-03,11.88,5.876262420757049
000039,中集集团,2026-06-04,550.6097888946533,553.2094573974609,522.0134353637695,524.6131038665771,39856928.0,405915494.0,0.017318503662364364,10.59,10.09,2026-06-03,10.56,51.993370056152344
000042,中洲控股,2026-06-04,133.33473274924538,137.11727835915306,133.06455091996625,134.9558237249201,6716971.0,67169803.0,0.010114527315868621,9.87,9.99,2026-06-03,9.9,13.509091463955965
000045,深纺织Ａ,2026-06-04,34.13035399012063,34.462302614250895,33.79840536599037,34.10017684247243,4867603.0,54986462.0,0.010650700859599384,11.31,11.3,2026-06-03,11.29,3.017714764820569
000048,京基智农,2026-06-04,150.83447472398026,156.11209805232107,149.8845025248789,153.78994378785112,17349332.0,251138124.0,0.032777709921212386,14.29,14.57,2026-06-03,14.39,10.555246656681614
000049,德赛电池,2026-06-04,238.13367467594827,238.98924476460436,232.04962071217156,233.95088757585177,8413943.0,207928428.0,0.02188083274488647,25.05,24.61,2026-06-03,25.26,9.506334318401128
000050,深天马Ａ,2026-06-04,66.95250301361084,70.68150318145751,66.86775300979615,69.83400314331055,52681310.0,431891849.0,0.02162831570493036,7.9,8.24,2026-06-03,8.0,8.475000381469727
000055,方大集团,2026-06-04,40.4738161897538,41.098090989595754,38.496945990254254,38.70503759020157,71061915.0,268461500.0,0.10514381788567076,3.89,3.72,2026-06-03,3.93,10.404579997366014
000058,深 赛 格,2026-06-04,33.57336039562938,33.99833964114367,32.77062182076904,33.053941317778566,11846100.0,83457542.0,0.012029680698634899,7.11,7.0,2026-06-03,7.23,4.72199161682551
000059,华锦股份,2026-06-04,8.930000305175781,8.985123763849705,8.378765718436535,8.452263663335101,32930799.0,154234568.0,0.02058930324291533,4.86,4.6,2026-06-03,4.86,1.8374486224641524
000060,中金岭南,2026-06-04,334.68837809942045,335.10465717665863,323.4488430139922,324.69768024570647,281278439.0,2208121142.0,0.063335077450421,8.04,7.8,2026-06-03,8.17,41.62790772380852
000061,农 产 品,2026-06-04,147.7158988518051,149.12048743042766,144.90672169456,145.60901598387125,13577800.0,84797703.0,0.007567134417428859,6.31,6.22,2026-06-03,6.32,23.409809643709206
000062,深圳华强,2026-06-04,266.9218819324339,273.9741958636749,260.7716081551889,268.7259622404259,71454648.0,2340458529.0,0.06838419249154673,32.55,32.77,2026-06-03,32.84,8.200365036326696
