code,name,date,open,high,low,close,volume,amount,turnover,raw_open,raw_high,raw_low,raw_close,raw_prev_date,raw_prev_close,scale
000001,平安银行,2026-08-19,1570.8687652248502,1597.8060454949514,1569.4510136316871,1597.8060454949514,142649557.0,1596598790.0,0.007350915830394971,11.08,11.27,11.07,11.27,2026-08-18,11.05,141.77515931632223
000002,万  科Ａ,2026-08-19,489.5388555918572,494.2763283879074,483.2222251971236,484.80138279580694,97716970.0,301574520.0,0.010056356382053778,3.1,3.13,3.06,3.07,2026-08-18,3.1,157.91575986834104
000006,深振业Ａ,2026-08-19,372.5206705860821,373.0281919356544,350.69725255447236,350.69725255447236,23663540.0,167688983.0,0.017528612471663842,7.34,7.35,6.91,6.91,2026-08-18,7.31,50.75213495723189
000007,全新好,2026-08-19,126.34745513159211,126.34745513159211,115.76450589834765,118.68021640138438,17341833.0,192674497.0,0.050056085754665136,11.7,11.7,10.72,10.99,2026-08-18,11.69,10.798927789024967
000008,神州高铁,2026-08-19,63.214220905311606,65.32136160215532,62.68743573110067,62.68743573110067,43969298.0,106597305.0,0.016187220608418956,2.4,2.48,2.38,2.38,2026-08-18,2.42,26.339258710546503
000009,中国宝安,2026-08-19,75.94092532897548,76.13920450738011,73.36329600971523,73.46243559891754,24079517.0,180472265.0,0.009347564325347857,7.66,7.68,7.4,7.41,2026-08-18,7.69,9.913958920231787
000011,深物业A,2026-08-19,36.62167479956958,37.599437961694015,35.688355417541715,35.73279919763828,9940016.0,81710649.0,0.018880299630556624,8.24,8.46,8.03,8.04,2026-08-18,8.24,4.444378009656503
000012,南  玻Ａ,2026-08-19,139.5752884416363,140.30989522290807,136.26955792591335,137.0041647071851,26752763.0,100377656.0,0.013654129724266236,3.8,3.82,3.71,3.73,2026-08-18,3.81,36.7303390635885
000014,沙河股份,2026-08-19,111.77261860810677,112.10233134736372,107.70616149060436,108.25568272269928,5615200.0,55859734.0,0.023198874608347537,10.17,10.2,9.8,9.85,2026-08-18,10.11,10.990424641898404
000017,深中华A,2026-08-19,18.893350569724404,19.459207991113825,18.35892967174551,18.453239241977084,7237797.0,43121706.0,0.016418867035956655,6.01,6.19,5.84,5.87,2026-08-18,6.03,3.143652341052314
