code,name,date,open,high,low,close,volume,amount,turnover,raw_open,raw_high,raw_low,raw_close,raw_prev_date,raw_prev_close,scale
000001,平安银行,2026-09-07,1688.5603385637194,1689.982883078095,1657.2643592474585,1664.3770818193357,108727552.0,1275606340.0,0.005602871120005598,11.87,11.88,11.65,11.7,2026-09-04,11.89,142.25445143755007
000002,万  科Ａ,2026-09-07,495.63990461129885,500.272053252526,489.4637064229961,492.5518055171475,140121595.0,448696886.0,0.014423053316914562,3.21,3.24,3.17,3.19,2026-09-04,3.24,154.40495470756974
000006,深振业Ａ,2026-09-07,353.8116523681432,362.42884160920113,352.29097191383886,360.4012676701287,11090467.0,78270729.0,0.008215190887448636,6.98,7.15,6.95,7.11,2026-09-04,7.01,50.68934847681135
000007,全新好,2026-09-07,134.9465550057488,136.80713200096187,124.33032156247414,125.86256144088492,20659150.0,243648981.0,0.05963130794873242,12.33,12.5,11.36,11.5,2026-09-04,12.42,10.944570560076949
000008,神州高铁,2026-09-07,66.11259716502636,66.37704755368647,65.58369638770615,65.84814677636626,14648656.0,36474601.0,0.005392877236494429,2.5,2.51,2.48,2.49,2026-09-04,2.49,26.445038866010545
000009,中国宝安,2026-09-07,72.48257194170802,73.09857113668005,72.17457234422201,72.48257194170802,12159316.0,86003977.0,0.004720193866938087,7.06,7.12,7.03,7.06,2026-09-04,7.07,10.266653249533714
000011,深物业A,2026-09-07,31.591898770430866,32.33875216925902,31.106444061192562,32.226724159434795,20491780.0,174603130.0,0.03892256776683736,8.46,8.66,8.33,8.63,2026-09-04,8.5,3.734266994140764
000012,南  玻Ａ,2026-09-07,139.96338259023273,141.08909344216488,139.21290868894462,140.3386195408768,14664490.0,54924841.0,0.007484492304596912,3.73,3.76,3.71,3.74,2026-09-04,3.72,37.52369506440556
000014,沙河股份,2026-09-07,116.39010367264855,117.9419717216172,115.61416964816422,117.27688541491635,4592000.0,48535791.0,0.01897158288244976,10.5,10.64,10.43,10.58,2026-09-04,10.53,11.08477177834748
000017,深中华A,2026-09-07,26.516411080835447,27.046739302452156,26.10393357513356,26.48694840185674,91519114.0,824176773.0,0.20761015596521418,9.0,9.18,8.86,8.99,2026-09-04,9.52,2.946267897870605
000019,深粮控股,2026-09-07,43.70504610670176,45.48267070290702,43.70504610670176,45.23748110343043,33517212.0,245842382.0,0.08052978068535183,7.13,7.42,7.13,7.38,2026-09-04,7.13,6.129739986914693
000020,深华发Ａ,2026-09-07,29.523010385379752,30.124048870424126,29.474927306576202,29.931716555209928,4759700.0,59121688.0,0.02627267809666803,12.28,12.53,12.26,12.45,2026-09-04,12.28,2.4041539401775043
000021,深科技,2026-09-07,538.4435925187809,548.3035037980947,535.3623702439952,543.6816703859163,54014897.0,1900677154.0,0.03408768664192589,34.95,35.59,34.75,35.29,2026-09-04,34.52,15.406111373927919
000025,特  力Ａ,2026-09-07,42.11683470805297,42.283414146581855,41.589333152711504,41.75591259124038,9233064.0,139218142.0,0.02350706118402869,15.17,15.23,14.98,15.04,2026-09-04,15.4,2.7763239754814086
000026,飞亚达,2026-09-07,183.10688712183594,201.39891050403767,182.82690717210835,197.199211258124,17277300.0,359930754.0,0.047408087468551116,19.62,21.58,19.59,21.13,2026-09-04,19.75,9.332664990919262
000027,深圳能源,2026-09-07,150.3702623751371,150.8461176358179,148.70476896275423,149.41855185377545,17860820.0,112204218.0,0.0037543317481568395,6.32,6.34,6.25,6.28,2026-09-04,6.32,23.79276303404068
000028,国药一致,2026-09-07,112.80565875028857,113.97897169419944,112.41455443565161,113.64373942451063,2888524.0,58628574.0,0.005492962085990939,20.19,20.4,20.12,20.34,2026-09-04,20.19,5.587204494813698
000029,深深房Ａ,2026-09-07,49.89938183877522,51.78831742888658,49.5170972550622,51.40603284517356,5473092.0,123989903.0,0.006138092995087814,22.19,23.03,22.02,22.86,2026-09-04,22.16,2.248732845370672
000030,富奥股份,2026-09-07,18.077170782135397,18.121695833322924,17.943595628572822,18.077170782135397,6649640.0,26970816.0,0.00397989322110552,4.06,4.07,4.03,4.06,2026-09-04,4.05,4.452505118752561
000031,大悦城,2026-09-07,41.8356543222109,42.01754847143791,41.108077725302884,41.471866023756895,40086884.0,91532051.0,0.009352317858001948,2.3,2.31,2.26,2.28,2026-09-04,2.3,18.189414922700394
000032,深桑达Ａ,2026-09-07,64.2479895007967,65.11497231366258,63.51789871101493,64.70429624441033,23968926.0,338175063.0,0.019724600133518896,14.08,14.27,13.92,14.18,2026-09-04,13.99,4.56306743613613
000034,神州数码,2026-09-07,98.66281244443286,99.20583385077393,97.45145699951813,98.78812507666541,14521949.0,342537094.0,0.01710179111201438,23.62,23.75,23.33,23.65,2026-09-04,23.46,4.177087741085218
000035,中国天楹,2026-09-07,20.903028971483295,21.640272731888306,20.859661691459465,21.423436331769185,46553000.0,229004442.0,0.020125590959134413,4.82,4.99,4.81,4.94,2026-09-04,4.83,4.336728002382426
