code,name,date,open,high,low,close,volume,amount,turnover,raw_open,raw_high,raw_low,raw_close,raw_prev_date,raw_prev_close,scale
000001,平安银行,2026-06-05,1580.362045218665,1609.546939867209,1580.362045218665,1602.2507162050729,100350334.0,1102446143.0,0.005171204735911454,10.83,11.03,10.83,10.98,2026-06-04,10.82,145.92447324272067
000002,万  科Ａ,2026-06-05,549.7255976607161,570.0231581897272,546.3426709058809,549.7255976607161,164437075.0,540009021.0,0.01692272927233116,3.25,3.37,3.23,3.25,2026-06-04,3.21,169.1463377417588
000006,深振业Ａ,2026-06-05,435.4280048994911,449.92501338603773,425.0729988376721,440.6055079304006,34737209.0,294982910.0,0.02573155476739329,8.41,8.69,8.21,8.51,2026-06-04,8.4,51.77503030909526
000007,全新好,2026-06-05,149.78201391937534,151.22801888078527,146.16700151585061,148.33600895796548,8472701.0,104520989.0,0.024455906583210497,12.43,12.55,12.13,12.31,2026-06-04,12.45,12.05004134508249
000008,神州高铁,2026-06-05,69.11429359172952,69.92107522898706,68.84536637931035,69.65214801656788,21354800.0,55119840.0,0.007861732489990291,2.57,2.6,2.56,2.59,2026-06-04,2.57,26.892721241918103
000009,中国宝安,2026-06-05,73.10651993453916,75.04921067405837,71.77731048118389,73.51550745864847,25601225.0,183708863.0,0.009938284787655986,7.15,7.34,7.02,7.19,2026-06-04,7.09,10.224688102732749
000011,深物业A,2026-06-05,34.02217525268221,35.96224366069329,34.02217525268221,35.86760617737568,6361794.0,47083921.0,0.012083740801612126,7.19,7.6,7.19,7.58,2026-06-04,7.22,4.731874165880696
000012,南  玻Ａ,2026-06-05,151.94627243004865,165.82598000779348,148.65897326689856,159.98189260663776,128267742.0,558342853.0,0.06546555167803463,4.16,4.54,4.07,4.38,2026-06-04,4.2,36.52554625722323
000014,沙河股份,2026-06-05,119.40133941848741,123.28245370168872,118.71643689792246,121.79849824046468,5692342.0,60470828.0,0.023517582327580538,10.46,10.8,10.4,10.67,2026-06-04,10.47,11.415042009415622
000017,深中华A,2026-06-05,17.047075680070307,17.60012966205732,16.949477918543185,17.30733637747596,9213091.0,49089439.0,0.020899800881285967,5.24,5.41,5.21,5.32,2026-06-04,5.25,3.253258717570669
000019,深粮控股,2026-06-05,40.947218017111496,41.525750139802234,40.88293667014586,41.26862475193968,8089983.0,51929884.0,0.01943743023638749,6.37,6.46,6.36,6.42,2026-06-04,6.38,6.428134696563814
000020,深华发Ａ,2026-06-05,29.78968609098648,30.343129370544382,28.875301542151675,29.982188101267493,3995300.0,49295703.0,0.022053329159320498,12.38,12.61,12.0,12.46,2026-06-04,12.35,2.4062751285126396
000021,深科技,2026-06-05,640.8054093403232,651.0768507516726,624.2385683542755,631.693646797997,136265339.0,5246077065.0,0.08656499335497089,38.68,39.3,37.68,38.13,2026-06-04,39.68,16.56684098604765
000025,特  力Ａ,2026-06-05,41.39923836188341,43.6145822207133,41.39923836188341,42.313067703650745,8337064.0,128542979.0,0.021225876214349102,14.95,15.75,14.95,15.28,2026-06-04,15.24,2.7691798235373524
000026,飞亚达,2026-06-05,218.18123906930717,237.48660151504643,214.60617194972585,230.4386120507289,19988401.0,443437634.0,0.05482872726174819,21.36,23.25,21.01,22.56,2026-06-04,21.56,10.214477484518126
000027,深圳能源,2026-06-05,191.04829264885214,194.9823630251477,178.26256392589164,179.24608151996554,94294733.0,706929206.0,0.019820686272291665,7.77,7.93,7.25,7.29,2026-06-04,7.79,24.587939851847125
000028,国药一致,2026-06-05,128.59010519359066,130.1804421836174,128.59010519359066,129.44207143824784,1719050.0,39225318.0,0.0035959413274076284,22.64,22.92,22.64,22.79,2026-06-04,22.7,5.679774964381212
000029,深深房Ａ,2026-06-05,53.47280492563077,54.11539657280573,52.577766559922786,52.99086119024955,5054200.0,117332488.0,0.005668304062086445,23.3,23.58,22.91,23.09,2026-06-04,23.44,2.294970168482007
000030,富奥股份,2026-06-05,19.085869789123535,19.425174140930174,19.043456745147704,19.170695877075193,7409400.0,33541291.0,0.00443436057420032,4.5,4.58,4.49,4.52,2026-06-04,4.51,4.241304397583008
000031,大悦城,2026-06-05,48.64801512586044,54.224269824081595,48.64801512586044,50.9554308630554,108754179.0,292050670.0,0.025372479696701804,2.53,2.82,2.53,2.65,2026-06-04,2.56,19.22846447662468
000032,深桑达Ａ,2026-06-05,70.06342376938728,70.14855551151291,67.67973498986986,67.67973498986986,22912160.0,368680854.0,0.020134429525618665,16.46,16.48,15.9,15.9,2026-06-04,16.36,4.256587106281123
000034,神州数码,2026-06-05,112.26043990480424,114.94196458269228,109.03352037717626,111.07875106370105,37071559.0,910994693.0,0.04365736702890897,24.7,25.29,23.99,24.44,2026-06-04,24.9,4.544957081166164
