code,name,date,open,high,low,close,volume,amount,turnover,raw_open,raw_high,raw_low,raw_close,raw_prev_date,raw_prev_close,scale
000001,平安银行,2026-08-24,1613.401313019747,1641.7563448830115,1609.1480582402573,1638.920841696685,119902495.0,1383380014.0,0.006178730359459539,11.38,11.58,11.35,11.56,2026-08-21,11.41,141.77515931632223
000002,万  科Ａ,2026-08-24,486.3805403944904,489.5388555918572,480.0639099997568,481.64306759844015,72339924.0,221305688.0,0.00744472588942008,3.08,3.1,3.04,3.05,2026-08-21,3.08,157.91575986834104
000006,深振业Ａ,2026-08-24,358.3100727980571,363.8928076433526,346.6370817578938,349.1746885057554,15752199.0,109822876.0,0.011668338374035784,7.06,7.17,6.83,6.88,2026-08-21,7.06,50.75213495723189
000007,全新好,2026-08-24,134.12268313969008,138.9822006447513,132.82681180500708,137.57834003217806,15517900.0,194741307.0,0.04479142044167523,12.42,12.87,12.3,12.74,2026-08-21,12.48,10.798927789024965
000008,神州高铁,2026-08-24,64.004398666628,65.58475418926079,63.741006079522535,64.53118384083893,49397500.0,121292366.0,0.018185603736597646,2.43,2.49,2.42,2.45,2026-08-21,2.46,26.339258710546503
000009,中国宝安,2026-08-24,72.96673765290595,73.36329600971523,71.47964381487118,71.67792299327583,17734759.0,129188330.0,0.006884556718768148,7.36,7.4,7.21,7.23,2026-08-21,7.33,9.913958920231787
000011,深物业A,2026-08-24,35.95501809812111,36.13279321850737,35.155030056382934,35.42169273696233,4814400.0,38525421.0,0.009144584328772893,8.09,8.13,7.91,7.97,2026-08-21,8.09,4.444378009656503
000012,南  玻Ａ,2026-08-24,136.63686131654924,136.63686131654924,135.16764775400569,135.90225453527748,12479324.0,46137842.0,0.006369222826335696,3.72,3.72,3.68,3.7,2026-08-21,3.72,36.7303390635885
000014,沙河股份,2026-08-24,111.44290586884982,111.77261860810677,108.47549121553723,109.35472518688911,4101027.0,40893986.0,0.016943156279108078,10.14,10.17,9.87,9.95,2026-08-21,10.09,10.990424641898404
000017,深中华A,2026-08-24,24.583361307029094,24.583361307029094,24.583361307029094,24.583361307029094,8839002.0,69120996.0,0.020051183884896875,7.82,7.82,7.82,7.82,2026-08-21,7.11,3.143652341052314
000019,深粮控股,2026-08-24,41.08450031723257,41.27267360112829,39.641838474032035,40.269082753684444,24416645.0,157032796.0,0.05866475044436305,6.55,6.58,6.32,6.42,2026-08-21,6.36,6.272442796524056
