code,name,date,open,high,low,close,volume,amount,turnover,raw_open,raw_high,raw_low,raw_close,raw_prev_date,raw_prev_close,scale
000001,平安银行,2026-09-15,1681.447615991842,1689.982883078095,1674.3348934199644,1681.447615991842,75525146.0,893382876.0,0.003891908275076462,11.82,11.88,11.77,11.82,2026-09-14,11.85,142.25445143755007
000002,万  科Ａ,2026-09-15,470.9351118580877,472.47916140516344,464.7589136697849,466.30296321686063,70204793.0,212336157.0,0.007226348462147824,3.05,3.06,3.01,3.02,2026-09-14,3.05,154.40495470756974
000006,深振业Ａ,2026-09-15,342.6599957032447,344.18067615754904,335.5634869164911,336.07038040125923,9369607.0,62710609.0,0.006940475098602696,6.76,6.79,6.62,6.63,2026-09-14,6.79,50.68934847681135
000007,全新好,2026-09-15,120.28083045524568,122.68863597846261,118.85803628243566,119.40526481043952,5471100.0,60373374.0,0.015791978320420248,10.99,11.21,10.86,10.91,2026-09-14,10.99,10.944570560076949
000008,神州高铁,2026-09-15,64.79034522172584,65.05479561038595,62.939192501105104,63.20364288976521,32888800.0,79300538.0,0.012107954535598212,2.45,2.46,2.38,2.39,2026-09-14,2.46,26.44503886601055
000009,中国宝安,2026-09-15,71.35324008425931,71.76390621424066,70.73724088928729,70.94257395427796,10940213.0,75878782.0,0.004246943356484553,6.95,6.99,6.89,6.91,2026-09-14,6.94,10.266653249533714
000011,深物业A,2026-09-15,32.7495215386145,32.82420687849732,30.845045371602716,30.88238804154412,14805400.0,126368695.0,0.028121724165257184,8.77,8.79,8.26,8.27,2026-09-14,8.58,3.7342669941407647
000012,南  玻Ａ,2026-09-15,141.08909344216488,141.839567343453,138.46243478765652,139.21290868894462,21493889.0,80110045.0,0.010970094890198036,3.76,3.78,3.69,3.71,2026-09-14,3.77,37.52369506440556
000014,沙河股份,2026-09-15,114.394844752546,114.394844752546,109.960936041207,110.51517463012439,4637628.0,46663171.0,0.019160092330132775,10.32,10.32,9.92,9.97,2026-09-14,10.27,11.08477177834748
000017,深中华A,2026-09-15,22.09700923402954,22.126471913008245,21.154203506710946,21.154203506710946,45691618.0,334310473.0,0.10365095906941349,7.5,7.51,7.18,7.18,2026-09-14,7.5,2.946267897870605
000019,深粮控股,2026-09-15,42.8468825085337,42.90817990840285,41.130555312197586,41.19185271206673,26574168.0,181187383.0,0.06384814825695212,6.99,7.0,6.71,6.72,2026-09-14,6.96,6.129739986914693
000020,深华发Ａ,2026-09-15,30.580838119057855,30.96550274948626,29.691301161192175,29.71534270059395,12558700.0,157836228.0,0.06932173927193411,12.72,12.88,12.35,12.36,2026-09-14,12.8,2.4041539401775043
000021,深科技,2026-09-15,516.1047310265853,533.8217591066024,514.5641198891925,522.4212366898956,50273226.0,1712010722.0,0.0317263953010356,33.5,34.65,33.4,33.91,2026-09-14,33.77,15.406111373927919
000025,特  力Ａ,2026-09-15,40.534330042028564,40.867488919086334,40.28446088423524,40.28446088423524,3786287.0,55164166.0,0.009639755575104044,14.6,14.72,14.51,14.51,2026-09-14,14.69,2.7763239754814086
000026,飞亚达,2026-09-15,170.22780943436734,173.40091553127988,168.82790968572945,171.06774928355006,3887600.0,71348506.0,0.010667389050531004,18.24,18.58,18.09,18.33,2026-09-14,18.23,9.332664990919262
000027,深圳能源,2026-09-15,151.3219728964987,152.74953867854114,150.13233474479665,151.5599005268391,23120466.0,147284191.0,0.00485990562224919,6.36,6.42,6.31,6.37,2026-09-14,6.37,23.792763034040675
000028,国药一致,2026-09-15,111.9675780760665,112.19106625585906,110.45903286246681,110.62664899731124,1136664.0,22567263.0,0.0021615372614216827,20.04,20.08,19.77,19.8,2026-09-14,20.0,5.587204494813698
000029,深深房Ａ,2026-09-15,47.89800960639532,48.662578773821345,47.33582639505265,47.47075036577488,2720296.0,57985329.0,0.003050822062221026,21.3,21.64,21.05,21.11,2026-09-14,21.19,2.248732845370672
